municipio,departamento,lat,lon
Santa Lucia,Atlantico,10.324722222222,-74.958888888889
Santa Maria,Boyaca,4.86,-73.262777777778
Santa Maria,Huila,2.9377777777778,-75.586944444444
Santa Marta,Magdalena,11.236111111111,-74.201666666667
Santa Rosa,Bolivar,10.445555555556,-75.368611111111
Santa Rosa,Cauca,1.7005555555556,-76.572777777778
Santa Rosa de Cabal,Risaralda,4.8672222222222,-75.621111111111
Santa Rosa de Osos,Antioquia,6.6472222222222,-75.460555555556
Santa Rosa de Viterbo,Boyaca,5.8747222222222,-72.981666666667
Santa Rosa del Sur,Bolivar,7.9633333333333,-74.053333333333
Santa Rosalia,Vichada,5.1261111111111,-70.875555555556
Santa Sofia,Boyaca,5.7136111111111,-73.603055555556
Santacruz,Nariño,1.2219444444444,-77.677222222222
Santana,Boyaca,6.0572222222222,-73.481111111111
Santander de Quilichao,Cauca,3.0083333333333,-76.483888888889
Santiago,Norte De Santander,7.8655555555556,-72.715833333333
Santiago,Putumayo,1.1469444444444,-77.001111111111
Santo Domingo,Antioquia,6.4708333333333,-75.165833333333
Santo Tomas,Atlantico,10.7575,-74.755833333333
Santuario,Antioquia,6.1375,-75.263888888889
Santuario,Risaralda,5.0747222222222,-75.964444444444
Sapuyes,Nariño,1.0369444444444,-77.621388888889
Saravena,Arauca,6.9547222222222,-71.876666666667
Sardinata,Norte De Santander,8.0836111111111,-72.800277777778
Sasaima,Cundinamarca,4.965,-74.434722222222
Sativanorte,Boyaca,6.1313888888889,-72.7075
Sativasur,Boyaca,6.0933333333333,-72.711666666667
Segovia,Antioquia,7.0780555555556,-74.701666666667
Sesquile,Cundinamarca,5.0452777777778,-73.797222222222
Sevilla,Valle,4.2694444444444,-75.931944444444
Siachoque,Boyaca,5.5130555555556,-73.244166666667
Sibate,Cundinamarca,4.4908333333333,-74.259444444444
Sibundoy,Putumayo,1.2033333333333,-76.919166666667
Silos,Norte De Santander,7.2047222222222,-72.756944444444
Silvania,Cundinamarca,4.4033333333333,-74.388055555556
Silvia,Cauca,2.6108333333333,-76.378888888889
Simacota,Santander,6.4430555555556,-73.3375
Simijaca,Cundinamarca,5.5033333333333,-73.851666666667
Simiti,Bolivar,7.9563888888889,-73.946111111111
Since,Sucre,9.2447222222222,-75.145833333333
Sincelejo,Sucre,9.2994444444444,-75.395833333333
Sipi,Choco,4.6516666666667,-76.643888888889
Sitionuevo,Magdalena,10.775833333333,-74.720277777778
Soacha,Cundinamarca,4.5780555555556,-74.214444444444
Soata,Boyaca,6.3327777777778,-72.683888888889
Socha,Boyaca,5.9977777777778,-72.692222222222
Socorro,Santander,6.4677777777778,-73.259722222222
Socota,Boyaca,6.0408333333333,-72.636388888889
Sogamoso,Boyaca,5.7158333333333,-72.933333333333
Solano,Caqueta,0.69833333333333,-75.253888888889
Soledad,Atlantico,10.909722222222,-74.785833333333
Solita,Caqueta,0.87583333333333,-75.619722222222
Somondoco,Boyaca,4.9861111111111,-73.432222222222
Sonson,Antioquia,5.7094444444444,-75.310555555556
Sopetran,Antioquia,6.5016666666667,-75.743333333333
