Municipio,Departamento,Participacion,Votos_Totales,Votos_Vacios,Votos_Nulos,Porcentaje_Si,Porcentaje_No,Votos_Si,Votos_No,Capital,Preferencia,IRV,cod_depto,cod_mpio
Enciso,Santander,0.4116,1345,18,30,0.4587,0.5412,595,702,0,No,0.02,68,266
Florian,Santander,0.3301,1703,16,22,0.6696,0.3303,1115,550,0,Si,0.16,68,271
Floridablanca,Santander,0.4914,87866,167,870,0.4167,0.5832,36189,50640,0,No,0.05,68,276
Galan,Santander,0.4266,1082,14,31,0.4185,0.5814,434,603,0,No,0.12,68,296
Gambita,Santander,0.3504,1135,16,19,0.5481,0.4518,603,497,0,Si,0.04,68,298
Giron,Santander,0.4336,45814,114,549,0.3787,0.6212,17099,28052,0,No,0.08,68,307
Guaca,Santander,0.3992,2052,33,38,0.3866,0.6133,766,1215,0,No,0.07,68,318
Guadalupe,Santander,0.3615,1567,22,30,0.4006,0.5993,607,908,0,No,0.05,68,320
Guapota,Santander,0.422,774,9,27,0.5162,0.4837,381,357,0,Si,0.02,68,322
Guavata,Santander,0.3008,1345,14,28,0.6201,0.3798,808,495,0,Si,0.10,68,324
Guepsa,Santander,0.3503,1462,9,20,0.6175,0.3824,885,548,0,Si,0.10,68,327
Hato,Santander,0.4476,817,24,19,0.5994,0.4005,464,310,0,Si,0.07,68,344
Jesus Maria,Santander,0.3248,1055,16,19,0.6323,0.3676,645,375,0,Si,0.09,68,368
Jordan,Santander,0.3604,399,11,3,0.5038,0.4961,194,191,0,Si,0.07,68,370
La Belleza,Santander,0.4203,2250,17,28,0.336,0.6639,741,1464,0,No,0.22,68,377
La Paz,Santander,0.294,1217,17,29,0.5815,0.4184,681,490,0,Si,0.05,68,397
Landazuri,Santander,0.3265,3055,62,173,0.5262,0.4737,1484,1336,0,Si,0.27,68,385
Lebrija,Santander,0.4367,12831,61,175,0.3062,0.6937,3857,8738,0,No,0.11,68,406
Los Santos,Santander,0.4817,4109,35,166,0.4204,0.5795,1643,2265,0,No,0.05,68,418
Macaravita,Santander,0.3743,840,16,21,0.5678,0.4321,456,347,0,Si,0.03,68,425
Malaga,Santander,0.4367,6841,39,178,0.3831,0.6168,2538,4086,0,No,0.04,68,432
Matanza,Santander,0.4648,2256,17,39,0.3936,0.6063,866,1334,0,No,0.11,68,444
Mogotes,Santander,0.3799,2854,60,128,0.4369,0.563,1165,1501,0,No,0.08,68,464
Molagavita,Santander,0.3989,1433,34,38,0.3901,0.6098,531,830,0,No,0.05,68,468
Ocamonte,Santander,0.4426,1670,17,35,0.6977,0.3022,1129,489,0,Si,0.03,68,498
Oiba,Santander,0.4239,3582,29,79,0.4441,0.5558,1543,1931,0,No,0.05,68,500
Onzaga,Santander,0.3362,1276,47,41,0.5336,0.4663,634,554,0,Si,0.11,68,502
Palmar,Santander,0.439,594,8,6,0.6844,0.3155,397,183,0,Si,0.05,68,522
Palmas Del Socorro,Santander,0.4129,1013,11,20,0.5356,0.4643,526,456,0,Si,0.02,68,524
Paramo,Santander,0.4954,1586,8,33,0.5119,0.488,791,754,0,Si,0.04,68,533
Piedecuesta,Santander,0.4881,49041,340,739,0.3991,0.6008,19145,28817,0,No,0.08,68,547
Pinchote,Santander,0.4265,1357,13,25,0.5625,0.4374,742,577,0,Si,0.01,68,549
Puente Nacional,Santander,0.3462,4456,35,72,0.573,0.4269,2492,1857,0,Si,0.03,68,572
Puerto Parra,Santander,0.2853,1545,15,17,0.3218,0.6781,487,1026,0,No,0.16,68,573
Puerto Wilches,Santander,0.377,8619,42,162,0.4869,0.513,4098,4317,0,No,0.22,68,575
Rionegro,Santander,0.3758,8296,95,179,0.3334,0.6665,2675,5347,0,No,0.16,68,615
Sabana De Torres,Santander,0.3846,7916,59,124,0.3085,0.6914,2386,5347,0,No,0.35,68,655
San Andres,Santander,0.4354,3085,52,79,0.5558,0.4441,1642,1321,0,Si,0.04,68,669
San Benito,Santander,0.2944,880,9,8,0.6767,0.3232,584,279,0,Si,0.06,68,673
San Gil,Santander,0.4356,17462,215,257,0.5046,0.4953,8574,8416,0,Si,0.03,68,679
San Joaquin,Santander,0.333,739,21,25,0.619,0.3809,429,264,0,Si,0.04,68,682
San Jose De Miranda,Santander,0.4641,1818,28,25,0.3274,0.6725,578,1187,0,No,0.07,68,684
San Miguel,Santander,0.3817,825,22,24,0.543,0.4569,423,356,0,Si,0.08,68,686
San Vicente De Chucuri,Santander,0.3735,9173,80,252,0.4076,0.5923,3604,5237,0,No,0.18,68,689
Santa Barbara,Santander,0.3679,734,11,15,0.3601,0.6398,255,453,0,No,0.08,68,705
Santa Helena Del Opon,Santander,0.3589,1113,19,65,0.3848,0.6151,396,633,0,No,0.15,68,720
Simacota,Santander,0.3882,2290,17,66,0.5604,0.4395,1237,970,0,Si,0.21,68,745
Socorro,Santander,0.4019,9556,36,123,0.4627,0.5372,4348,5049,0,No,0.04,68,755
Suaita,Santander,0.3243,2678,29,65,0.5398,0.4601,1395,1189,0,Si,0.03,68,770
Sucre,Santander,0.3183,1858,28,28,0.3873,0.6126,698,1104,0,No,0.21,68,773
Surata,Santander,0.4452,1343,20,40,0.3725,0.6274,478,805,0,No,0.14,68,780
Tona,Santander,0.4119,2039,16,66,0.4128,0.5871,808,1149,0,No,0.10,68,820
Valle De San Jose,Santander,0.4101,1902,18,45,0.5084,0.4915,935,904,0,Si,0.05,68,855
Velez,Santander,0.3768,6193,37,160,0.5426,0.4573,3254,2742,0,Si,0.06,68,861
Vetas,Santander,0.3956,580,2,10,0.1619,0.838,92,476,0,No,0.05,68,867
Villanueva,Santander,0.377,2389,16,34,0.3899,0.61,912,1427,0,No,0.04,68,872
Zapatoca,Santander,0.3556,2620,22,51,0.3863,0.6136,984,1563,0,No,0.06,68,895
Buenavista,Sucre,0.3378,3250,48,22,0.6877,0.3122,2187,993,0,Si,0.13,70,110
Caimito,Sucre,0.3213,2814,41,24,0.7733,0.2266,2126,623,0,Si,0.06,70,124
Chalan,Sucre,0.3166,1394,40,19,0.6509,0.349,869,466,0,Si,0.19,70,230
Coloso,Sucre,0.3514,2374,27,26,0.7014,0.2985,1628,693,0,Si,0.22,70,204
Corozal,Sucre,0.3967,18206,120,206,0.61,0.3899,10907,6973,0,Si,0.12,70,215
Coveñas,Sucre,0.3569,3898,24,41,0.5003,0.4996,1918,1915,0,Si,0.16,70,221
El Roble,Sucre,0.3784,2912,19,22,0.7795,0.2204,2238,633,0,Si,0.15,70,233
Galeras,Sucre,0.3381,5332,61,51,0.4178,0.5821,2181,3039,0,No,0.18,70,235
Guaranda,Sucre,0.2801,3584,24,48,0.5156,0.4843,1811,1701,0,Si,0.12,70,265
La Union,Sucre,0.317,2983,37,18,0.7954,0.2045,2329,599,0,Si,0.07,70,400
Los Palmitos,Sucre,0.4355,7661,65,66,0.7674,0.2325,5779,1751,0,Si,0.15,70,418
Majagual,Sucre,0.2657,6929,85,52,0.5793,0.4206,3935,2857,0,Si,0.09,70,429
Morroa,Sucre,0.4075,5222,46,101,0.6545,0.3454,3322,1753,0,Si,0.19,70,473
Ovejas,Sucre,0.3709,7470,65,58,0.7251,0.2748,5328,2019,0,Si,0.27,70,508
Palmito,Sucre,0.352,3394,31,29,0.6967,0.3032,2323,1011,0,Si,0.17,70,523
Sampues,Sucre,0.3779,11708,126,170,0.5972,0.4027,6816,4596,0,Si,0.15,70,670
San Benito Abad,Sucre,0.2964,5485,62,46,0.6434,0.3565,3460,1917,0,Si,0.17,70,678
San Juan De Betulia,Sucre,0.4039,4534,28,39,0.713,0.2869,3185,1282,0,Si,0.14,70,702
San Marcos,Sucre,0.2662,11381,122,165,0.6361,0.3638,7058,4036,0,Si,0.11,70,708
San Onofre,Sucre,0.2553,10458,117,121,0.7801,0.2198,7973,2247,0,Si,0.14,70,713
San Pedro,Sucre,0.362,5895,62,38,0.6486,0.3513,3759,2036,0,Si,0.21,70,717
Since,Sucre,0.3579,9157,82,112,0.6102,0.3897,5470,3493,0,Si,0.14,70,742
Sincelejo,Sucre,0.3593,70389,722,771,0.5437,0.4562,37461,31435,1,Si,0.16,70,001
Sucre,Sucre,0.274,5670,59,52,0.5576,0.4423,3100,2459,0,Si,0.16,70,771
Tolu,Sucre,0.3449,7870,54,89,0.7023,0.2976,5427,2300,0,Si,0.12,70,820
Toluviejo,Sucre,0.4168,7424,74,63,0.7173,0.2826,5227,2060,0,Si,0.19,70,823
Alpujarra,Tolima,0.4072,1517,14,46,0.3102,0.6897,452,1005,0,No,0.17,73,024
Alvarado,Tolima,0.3309,2787,24,36,0.4811,0.5188,1312,1415,0,No,0.18,73,026
Ambalema,Tolima,0.3471,2403,14,47,0.5192,0.4807,1216,1126,0,Si,0.08,73,030
Anzoategui,Tolima,0.3165,2362,51,42,0.3054,0.6945,693,1576,0,No,0.26,73,043
Armero,Tolima,0.3507,3568,30,68,0.517,0.4829,1794,1676,0,Si,0.13,73,055
Ataco,Tolima,0.3511,5252,75,68,0.3245,0.6754,1658,3451,0,No,0.41,73,067
Cajamarca,Tolima,0.3734,6046,54,85,0.3086,0.6913,1823,4084,0,No,0.29,73,124
Carmen De Apicala,Tolima,0.4147,3506,12,34,0.352,0.6479,1218,2242,0,No,0.04,73,148
Casabianca,Tolima,0.3898,1926,29,22,0.4917,0.5082,922,953,0,No,0.23,73,152
Chaparral,Tolima,0.3284,12516,174,172,0.4499,0.55,5476,6694,0,No,0.57,73,168
Coello,Tolima,0.3503,2701,22,34,0.5625,0.4374,1488,1157,0,Si,0.07,73,200
Coyaima,Tolima,0.3306,5685,119,81,0.6206,0.3793,3404,2081,0,Si,0.28,73,217
Cunday,Tolima,0.3673,2648,26,31,0.4148,0.5851,1075,1516,0,No,0.22,73,226
Dolores,Tolima,0.41,2759,35,52,0.415,0.5849,1109,1563,0,No,0.41,73,236
Espinal,Tolima,0.4032,23446,111,324,0.3645,0.6354,8388,14623,0,No,0.10,73,268
Falan,Tolima,0.391,2230,36,52,0.5354,0.4645,1147,995,0,Si,0.10,73,270
Flandes,Tolima,0.3892,6693,38,88,0.3613,0.6386,2373,4194,0,No,0.05,73,275
Fresno,Tolima,0.3281,8566,100,183,0.3309,0.669,2741,5542,0,No,0.14,73,283
Guamo,Tolima,0.3498,9014,75,114,0.3447,0.6552,3042,5783,0,No,0.08,73,319
Herveo,Tolima,0.3262,1932,40,40,0.3909,0.609,724,1128,0,No,0.23,73,347
Honda,Tolima,0.3712,8549,62,150,0.4256,0.5743,3549,4788,0,No,0.13,73,349
Ibague,Tolima,0.4649,182499,656,2184,0.3939,0.606,70780,108879,1,No,0.20,73,001
Icononzo,Tolima,0.3468,2912,30,49,0.5287,0.4712,1498,1335,0,Si,0.24,73,352
Lerida,Tolima,0.371,5665,28,77,0.4942,0.5057,2748,2812,0,No,0.14,73,408
Libano,Tolima,0.3273,10767,145,226,0.4961,0.5038,5158,5238,0,No,0.20,73,411
Mariquita,Tolima,0.3867,11144,80,217,0.4213,0.5786,4570,6277,0,No,0.07,73,443
Melgar,Tolima,0.3971,10942,47,130,0.2881,0.7118,3102,7663,0,No,0.20,73,449
Murillo,Tolima,0.309,1169,14,56,0.3721,0.6278,409,690,0,No,0.24,73,461
Natagaima,Tolima,0.3516,5420,41,78,0.5602,0.4397,2970,2331,0,Si,0.27,73,483
Ortega,Tolima,0.3584,8505,159,227,0.3999,0.6,3247,4872,0,No,0.16,73,504
Palocabildo,Tolima,0.3331,2488,24,49,0.4153,0.5846,1003,1412,0,No,0.04,73,520
Piedras,Tolima,0.3653,1968,10,25,0.5038,0.4961,974,959,0,Si,0.63,73,547
Planadas,Tolima,0.3155,6205,108,198,0.4777,0.5222,2818,3081,0,No,0.21,73,555
Prado,Tolima,0.378,2999,36,43,0.3839,0.616,1121,1799,0,No,0.09,73,563
Purificacion,Tolima,0.4131,8339,50,105,0.4942,0.5057,4045,4139,0,No,0.53,73,585
Rioblanco,Tolima,0.298,4778,133,119,0.488,0.5119,2209,2317,0,No,0.36,73,616
Roncesvalles,Tolima,0.375,1566,22,48,0.5133,0.4866,768,728,0,Si,0.45,73,622
Rovira,Tolima,0.3215,6272,57,152,0.2929,0.707,1776,4287,0,No,0.12,73,624
Saldaña,Tolima,0.3617,4492,22,53,0.3312,0.6687,1463,2954,0,No,0.46,73,671
San Antonio,Tolima,0.4038,4044,83,94,0.2836,0.7163,1097,2770,0,No,0.16,73,675
San Luis,Tolima,0.4021,4344,54,57,0.3869,0.613,1638,2595,0,No,0.16,73,678
Santa Isabel,Tolima,0.3086,1791,19,31,0.2785,0.7214,485,1256,0,No,0.23,73,686
Suarez,Tolima,0.4133,1813,3,15,0.3899,0.61,700,1095,0,No,0.09,73,770
Valle De San Juan,Tolima,0.3035,1500,12,26,0.4603,0.5396,673,789,0,No,0.16,73,854
Venadillo,Tolima,0.3829,4488,29,52,0.4377,0.5622,1929,2478,0,No,0.16,73,861
Villahermosa,Tolima,0.3368,2419,43,39,0.2588,0.7411,605,1732,0,No,0.24,73,870
Villarrica,Tolima,0.3445,1793,10,42,0.3854,0.6145,671,1070,0,No,0.20,73,873
Alcala,Valle,0.3395,3800,41,69,0.4888,0.5111,1804,1886,0,No,0.09,76,020
Andalucia,Valle,0.3511,6865,40,101,0.5212,0.4787,3505,3219,0,Si,0.12,76,036
Ansermanuevo,Valle,0.2805,5405,49,80,0.3159,0.684,1667,3609,0,No,0.11,76,041
Argelia,Valle,0.3042,1955,19,30,0.4842,0.5157,923,983,0,No,0.22,76,054
Bolivar,Valle,0.3707,4964,65,75,0.428,0.5719,2065,2759,0,No,0.27,76,100
Buenaventura,Valle,0.2846,62389,629,1525,0.7066,0.2933,42565,17670,0,Si,0.50,76,109
Buga,Valle,0.4224,42281,202,551,0.5046,0.4953,20956,20572,0,Si,0.32,76,111
Bugalagrande,Valle,0.3733,7101,54,136,0.5754,0.4245,3977,2934,0,Si,0.12,76,113
Caicedonia,Valle,0.3644,10321,143,186,0.3889,0.611,3886,6106,0,No,0.19,76,122
Cali,Valle,0.364,596245,2298,4496,0.5427,0.4572,319949,269502,1,Si,0.27,76,001
Calima,Valle,0.3382,4705,41,77,0.4879,0.512,2238,2349,0,No,0.08,76,126
Candelaria,Valle,0.3501,23999,136,440,0.4652,0.5347,10898,12525,0,No,0.08,76,130
Cartago,Valle,0.3553,39722,222,554,0.3811,0.6188,14845,24101,0,No,0.32,76,147
Dagua,Valle,0.3072,10754,80,150,0.4433,0.5566,4666,5858,0,No,0.15,76,233
El Aguila,Valle,0.3563,2896,20,56,0.3088,0.6911,871,1949,0,No,0.23,76,243
El Cairo,Valle,0.2878,1935,52,32,0.5035,0.4964,932,919,0,Si,0.10,76,246
El Cerrito,Valle,0.3562,18476,101,263,0.5178,0.4821,9380,8732,0,Si,0.27,76,248
El Dovio,Valle,0.3101,3042,32,51,0.3284,0.6715,972,1987,0,No,0.37,76,250
Florida,Valle,0.3755,18826,219,347,0.567,0.4329,10354,7906,0,Si,0.10,76,275
Ginebra,Valle,0.4058,6619,75,99,0.4937,0.5062,3182,3263,0,No,0.16,76,306
Guacari,Valle,0.386,10586,61,184,0.5595,0.4404,5786,4555,0,Si,0.20,76,318
Jamundi,Valle,0.357,34404,161,518,0.5355,0.4644,18060,15665,0,Si,0.22,76,364
La Cumbre,Valle,0.3238,4132,29,44,0.5018,0.4981,2037,2022,0,Si,0.09,76,377
La Union,Valle,0.3937,10429,81,170,0.2743,0.7256,2792,7386,0,No,0.12,76,400
La Victoria,Valle,0.3669,4260,41,55,0.4634,0.5365,1930,2234,0,No,0.12,76,403
Obando,Valle,0.3269,3657,27,81,0.4449,0.555,1579,1970,0,No,0.14,76,497
Palmira,Valle,0.3873,101380,509,1162,0.5443,0.4556,54278,45431,0,Si,0.14,76,520
Pradera,Valle,0.3826,15215,120,258,0.5104,0.4895,7574,7263,0,Si,0.35,76,563
Restrepo,Valle,0.2982,4447,38,58,0.4084,0.5915,1777,2574,0,No,0.18,76,606
Riofrio,Valle,0.3348,5310,44,98,0.4069,0.593,2103,3065,0,No,0.28,76,616
Roldanillo,Valle,0.3946,1174,56,115,0.4208,0.5791,4631,6372,0,No,0.19,76,622
San Pedro,Valle,0.375,5506,34,75,0.5017,0.4982,2708,2689,0,Si,0.26,76,670
Sevilla,Valle,0.3518,13312,157,335,0.5139,0.486,6589,6231,0,Si,0.17,76,736
Toro,Valle,0.3099,3926,44,77,0.3634,0.6365,1383,2422,0,No,0.12,76,823
Trujillo,Valle,0.3419,5401,60,85,0.3729,0.627,1960,3296,0,No,0.26,76,828
Tulua,Valle,0.3948,62052,436,1001,0.4576,0.5423,27738,32877,0,No,0.25,76,834
Ulloa,Valle,0.361,1674,25,28,0.5607,0.4392,909,712,0,Si,0.07,76,845
Versalles,Valle,0.3362,2686,35,38,0.3685,0.6314,963,1650,0,No,0.12,76,863
Vijes,Valle,0.3303,3437,36,35,0.5383,0.4616,1812,1554,0,Si,0.10,76,869
Yotoco,Valle,0.3535,5060,33,61,0.4748,0.5251,2358,2608,0,No,0.12,76,890
Yumbo,Valle,0.3613,34988,171,470,0.5268,0.4731,18095,16252,0,Si,0.12,76,892
Zarzal,Valle,0.3693,13542,67,263,0.5019,0.498,6632,6580,0,Si,0.11,76,895
Buenos Aires,Vaupes,0.1759,190,1,3,0.9139,0.086,170,16,0,Si,0.61,97,511
Caruru,Vaupes,0.2701,465,0,7,0.834,0.1659,382,76,0,Si,0.34,97,161
Mitu,Vaupes,0.2328,3627,20,30,0.7562,0.2437,2705,872,1,Si,0.17,97,001
Morichal,Vaupes,0.1743,19,0,0,0.9473,0.0526,18,1,0,Si,0.14,97,777
Taraira,Vaupes,0.2505,345,36,1,0.7889,0.211,243,65,0,Si,0.13,97,666
Yavarate,Vaupes,0.3053,316,1,0,0.8825,0.1174,278,37,0,Si,0.10,97,889
Cumaribo,Vichada,0.1937,3763,42,52,0.7405,0.2594,2717,952,0,Si,0.69,99,773
La Primavera,Vichada,0.3445,2504,23,33,0.27,0.7299,661,1787,0,No,0.25,99,524
Puerto Carreño,Vichada,0.2764,4820,24,62,0.4615,0.5384,2185,2549,1,No,0.29,99,001
Santa Rosalia,Vichada,0.4261,1284,6,13,0.4553,0.5446,576,689,0,No,0.19,99,624
